shape_id,shape_pt_lat,shape_pt_sequence,shape_pt_lon,shape_dist_traveled
001_1,35.939026,158,10.554,3.42
001_1,35.938946,159,10.554074,3.43
001_1,35.93879,160,10.554206,3.45
001_1,35.938717,161,10.554264,3.46
001_1,35.93858,162,10.554379,3.48
001_1,35.93841,163,10.554537,3.5
001_1,35.93825,164,10.554685,3.52
001_1,35.93813,165,10.554786,3.54
001_1,35.93806,166,10.554846,3.55
001_1,35.93802,167,10.554888,3.56
001_1,35.93792,168,10.554988,3.57
001_1,35.937798,169,10.555088,3.59
001_1,35.937733,170,10.555135,3.6
001_1,35.937668,171,10.555181,3.61
001_1,35.937565,172,10.555285,3.62
001_1,35.937466,173,10.5554,3.64
001_1,35.93735,174,10.555522,3.66
001_1,35.937294,175,10.55559,3.67
001_1,35.937172,176,10.555731,3.69
001_1,35.93711,177,10.5558,3.7
001_1,35.93697,178,10.555938,3.72
001_1,35.936825,179,10.556072,3.74
001_1,35.936756,180,10.556142,3.75
001_1,35.936695,181,10.556213,3.76
001_1,35.936565,182,10.556366,3.78
001_1,35.9365,183,10.556441,3.79
001_1,35.936436,184,10.556514,3.8
001_1,35.936317,185,10.556635,3.82
001_1,35.93623,186,10.556723,3.83
001_1,35.936184,187,10.556781,3.84
001_1,35.936142,188,10.556844,3.85
001_1,35.936104,189,10.556889,3.86
001_1,35.936,190,10.55701,3.88
001_1,35.935936,191,10.55708,3.89
001_1,35.9358,192,10.557227,3.91
001_1,35.935646,193,10.557384,3.93
001_1,35.935574,194,10.557461,3.94
001_1,35.93516,195,10.557895,4
001_1,35.934902,196,10.5581665,4.04
001_1,35.934814,197,10.558253,4.05
001_1,35.93467,198,10.558407,4.07
001_1,35.934612,199,10.558474,4.08
001_1,35.934505,200,10.558588,4.1
001_1,35.93446,201,10.558644,4.11
001_1,35.93441,202,10.5587,4.12
001_1,35.934364,203,10.558752,4.13
001_1,35.934326,204,10.558798,4.14
001_1,35.934277,205,10.558861,4.15
001_1,35.934235,206,10.558919,4.16
001_1,35.934143,207,10.559029,4.17
001_1,35.934013,208,10.559191,4.19
001_1,35.933857,209,10.559382,4.21
001_1,35.93369,210,10.559573,4.24
001_1,35.93353,211,10.559733,4.26
001_1,35.933453,212,10.559797,4.27
001_1,35.93333,213,10.559899,4.29
001_1,35.933292,214,10.559946,4.3
001_1,35.933212,215,10.560041,4.31
001_1,35.933113,216,10.560127,4.32
001_1,35.93296,217,10.560269,4.34
001_1,35.932865,218,10.560357,4.35
001_1,35.93277,219,10.5604515,4.36
001_1,35.932568,220,10.560639,4.39
001_1,35.93246,221,10.560732,4.4
001_1,35.932266,222,10.560909,4.43
001_1,35.931797,223,10.561354,4.5
001_1,35.93168,224,10.561454,4.52
001_1,35.931633,225,10.561492,4.53
001_1,35.93154,226,10.56154,4.54
001_1,35.93148,227,10.561572,4.55
001_1,35.931343,228,10.56168,4.57
001_1,35.931133,229,10.561863,4.6
001_1,35.93089,230,10.562093,4.63
001_1,35.93077,231,10.562211,4.65
001_1,35.93066,232,10.562332,4.67
001_1,35.930458,233,10.562573,4.7
001_1,35.93026,234,10.562803,4.73
001_1,35.93008,235,10.563019,4.76
001_1,35.92991,236,10.563226,4.79
001_1,35.929405,237,10.563763,4.86
001_1,35.929207,238,10.563977,4.89
001_1,35.9291,239,10.564075,4.9
001_1,35.929054,240,10.564123,4.91
001_1,35.929016,241,10.564158,4.92
001_1,35.928978,242,10.564192,4.93
001_1,35.928852,243,10.564289,4.95
001_1,35.928677,244,10.564425,4.97
001_1,35.928497,245,10.564594,5
001_1,35.92842,246,10.564676,5.01
001_1,35.928303,247,10.56481,5.03
001_1,35.928265,248,10.564852,5.04
001_1,35.928215,249,10.564896,5.05
001_1,35.928173,250,10.564924,5.06
001_1,35.928116,251,10.564958,5.07
001_1,35.928062,252,10.564999,5.08
001_1,35.927917,253,10.565121,5.1
001_1,35.927742,254,10.565294,5.12
001_1,35.92764,255,10.56539,5.13
001_1,35.927433,256,10.565593,5.16
001_1,35.927322,257,10.565696,5.18
001_1,35.927208,258,10.565798,5.2
001_1,35.926975,259,10.566,5.23
001_1,35.92676,260,10.566204,5.26
001_1,35.92655,261,10.566405,5.29
001_1,35.926342,262,10.56659,5.32
001_1,35.92612,263,10.566769,5.35
001_1,35.926006,264,10.566858,5.37
001_1,35.92582,265,10.567001,5.39
001_1,35.9257,266,10.56709,5.41
001_1,35.92562,267,10.567159,5.42
001_1,35.925568,268,10.56719,5.43
001_1,35.925484,269,10.567234,5.44
001_1,35.92538,270,10.567296,5.45
001_1,35.925247,271,10.567381,5.47
001_1,35.92508,272,10.567475,5.49
001_1,35.924885,273,10.56758,5.51
001_1,35.92468,274,10.567695,5.54
001_1,35.924458,275,10.567819,5.57
001_1,35.924236,276,10.56796,5.6
001_1,35.924015,277,10.568098,5.63
001_1,35.923805,278,10.568218,5.66
001_1,35.9236,279,10.568336,5.69
001_1,35.9235,280,10.5683975,5.7
001_1,35.923317,281,10.568513,5.72
001_1,35.92316,282,10.568604,5.74
001_1,35.923107,283,10.568637,5.75
001_1,35.923035,284,10.568669,5.76
001_1,35.922985,285,10.568692,5.77
001_1,35.9229,286,10.568746,5.78
001_1,35.922726,287,10.568868,5.8
001_1,35.92262,288,10.568936,5.81
001_1,35.922394,289,10.56907,5.84
001_1,35.922176,290,10.569197,5.87
001_1,35.921974,291,10.569338,5.9
001_1,35.921867,292,10.569415,5.91
001_1,35.921654,293,10.569582,5.94
001_1,35.92143,294,10.569773,5.97
001_1,35.92126,295,10.569894,5.99
001_1,35.92111,296,10.569961,6.01
001_1,35.92101,297,10.570027,6.02
001_1,35.92093,298,10.570076,6.03
001_1,35.92084,299,10.570132,6.04
001_1,35.920742,300,10.570193,6.05
001_1,35.92064,301,10.570259,6.06
001_1,35.920532,302,10.570327,6.07
001_1,35.920307,303,10.570463,6.1
001_1,35.92019,304,10.570534,6.11
001_1,35.919964,305,10.570675,6.14
001_1,35.919746,306,10.570818,6.17
001_1,35.91953,307,10.570963,6.2
001_1,35.919365,308,10.5710745,6.22
001_1,35.91918,309,10.571212,6.24
001_1,35.918953,310,10.57141,6.27
001_1,35.918903,311,10.571447,6.28
001_1,35.918846,312,10.571482,6.29
001_1,35.91877,313,10.571523,6.3
001_1,35.9186,314,10.571611,6.32
001_1,35.918503,315,10.571659,6.33
001_1,35.91831,316,10.571767,6.35
001_1,35.91821,317,10.571823,6.36
001_1,35.918106,318,10.571879,6.37
001_1,35.917904,319,10.5720005,6.39
001_1,35.917793,320,10.572063,6.4
001_1,35.917683,321,10.572126,6.41
001_1,35.917576,322,10.572191,6.42
001_1,35.917465,323,10.57226,6.43
001_1,35.917255,324,10.572399,6.46
001_1,35.917156,325,10.572472,6.47
001_1,35.916985,326,10.572604,6.49
001_1,35.916893,327,10.57272,6.5
001_1,35.916847,328,10.572792,6.51
001_1,35.91679,329,10.572839,6.52
001_1,35.91674,330,10.572875,6.53
001_1,35.916676,331,10.572918,6.54
001_1,35.916515,332,10.573018,6.56
001_1,35.916325,333,10.573127,6.58
001_1,35.916138,334,10.5732355,6.6
001_1,35.91595,335,10.5733595,6.62
001_1,35.915756,336,10.5735,6.65
001_1,35.915543,337,10.573639,6.68
001_1,35.91532,338,10.57378,6.71
001_1,35.91521,339,10.573856,6.72
001_1,35.914997,340,10.57401,6.75
001_1,35.914783,341,10.574164,6.78
001_1,35.914566,342,10.574316,6.81
001_1,35.914455,343,10.574391,6.82
001_1,35.914246,344,10.574553,6.85
001_1,35.914036,345,10.574712,6.88
001_1,35.913925,346,10.574794,6.89
001_1,35.91371,347,10.574949,6.92
001_1,35.913517,348,10.575103,6.95
001_1,35.91342,349,10.575181,6.96
001_1,35.913254,350,10.57534,6.98
001_1,35.913166,351,10.575429,6.99
001_1,35.912994,352,10.575604,7.01
001_1,35.91281,353,10.5757675,7.04
001_1,35.912724,354,10.575828,7.05
001_1,35.912678,355,10.575855,7.06
001_1,35.91263,356,10.575904,7.07
001_1,35.912594,357,10.575946,7.08
001_1,35.912518,358,10.576017,7.09
001_1,35.912476,359,10.576043,7.1
001_1,35.912422,360,10.576069,7.11
001_1,35.912304,361,10.576125,7.12
001_1,35.91224,362,10.576162,7.13
001_1,35.912106,363,10.57626,7.15
001_1,35.912025,364,10.576324,7.16
001_1,35.911842,365,10.576484,7.18
001_1,35.911747,366,10.576569,7.19
